year,runtime,director,star,rating
2008,110,Timur Bekmambetov,Angelina Jolie,6.7
2021,127,Jaume Collet-Serra,Dwayne Johnson,6.6
2010,118,Albert Hughes,Denzel Washington,6.8
2013,123,Ron Howard,Daniel Brühl,8.1
2003,138,Peter Weir,Russell Crowe,7.4
2011,136,Rob Marshall,Johnny Depp,6.6
2016,132,Antoine Fuqua,Denzel Washington,6.8
2004,137,Quentin Tarantino,Uma Thurman,8.0
2016,129,Jon M. Chu,Jesse Eisenberg,6.4
2014,89,Luc Besson,Scarlett Johansson,6.4
2000,109,David Twohy,Radha Mitchell,7.1
2014,165,Michael Bay,Mark Wahlberg,5.6
2003,111,F. Gary Gray,Donald Sutherland,7.0
2013,131,Guillermo del Toro,Idris Elba,6.9
2008,112,Rob Cohen,Brendan Fraser,5.2
2018,100,Leigh Whannell,Logan Marshall-Green,7.5
2018,114,Travis Knight,Hailee Steinfeld,6.7
2019,119,Hans Petter Moland,Liam Neeson,6.2
2016,103,Yimou Zhang,Matt Damon,5.9
2017,115,Doug Liman,Tom Cruise,7.1
2015,121,Baltasar Kormákur,Jason Clarke,7.1
2006,126,J.J. Abrams,Tom Cruise,6.9
2002,100,Paul W.S. Anderson,Milla Jovovich,6.6
2004,131,Stephen Sommers,Hugh Jackman,6.0
2021,107,Johannes Roberts,Kaya Scodelario,5.2
2012,131,Peter Berg,Alexander Skarsgård,5.8
2006,97,Renny Harlin,Steven Strait,5.1
2014,98,Brett Ratner,Dwayne Johnson,6.0
2000,165,Roland Emmerich,Mel Gibson,7.2
2011,110,Tarsem Singh,Henry Cavill,6.0
2010,98,George Tillman Jr.,Dwayne Johnson,6.4
2014,132,Bryan Singer,Patrick Stewart,7.9
2009,95,Mark Neveldine,Gerard Butler,5.7
2010,124,Jon Favreau,Robert Downey Jr.,6.9
2010,100,Scott Stewart,Paul Bettany,5.2
2007,169,Gore Verbinski,Johnny Depp,7.1
2020,109,Dave Wilson,Vin Diesel,5.7
2011,93,Duncan Jones,Jake Gyllenhaal,7.5
2017,118,Steven Soderbergh,Channing Tatum,7.0
2015,105,Chris Columbus,Adam Sandler,5.6
2006,154,Bryan Singer,Brandon Routh,6.1
2009,121,Alex Proyas,Nicolas Cage,6.2
2004,119,David Twohy,Vin Diesel,6.6
2014,102,Don Hall,Ryan Potter,7.8
2010,140,Ridley Scott,Russell Crowe,6.6
2017,115,David Leitch,Charlize Theron,6.7
2020,100,Robert Rodriguez,YaYa Gosselin,4.7
2016,101,Ben Stiller,Ben Stiller,4.7
2022,86,Ryûhei Kitamura,Emile Hirsch,4.8
2017,109,Dean Devlin,Gerard Butler,5.3
2020,99,Jeff Fowler,Ben Schwartz,6.5
2015,124,Antoine Fuqua,Jake Gyllenhaal,7.3
2001,88,Robert Rodriguez,Alexa PenaVega,5.6
2017,95,Nikolaj Arcel,Idris Elba,5.6
2012,119,Rian Johnson,Joseph Gordon-Levitt,7.4
2022,92,Chuck Russell,Bruce Willis,3.6
2014,112,Phil Lord,Channing Tatum,7.0
2007,122,James Mangold,Russell Crowe,7.7
2016,95,Alessandro Carloni,Jack Black,7.1
2018,121,Panos Cosmatos,Nicolas Cage,6.5
2013,109,Allen Hughes,Mark Wahlberg,6.1
2006,122,Wayne Kramer,Paul Walker,7.3
2010,116,David O. Russell,Mark Wahlberg,7.8
2011,104,Patrick Lussier,Nicolas Cage,5.4
2001,119,Tim Burton,Mark Wahlberg,5.7
2021,106,Cedric Nicolas-Troyan,Mary Elizabeth Winstead,6.2
2011,107,Steven Spielberg,Jamie Bell,7.3
2008,114,Guy Ritchie,Gerard Butler,7.2
2018,101,Pierre Morel,Jennifer Garner,6.5
2007,128,Len Wiseman,Bruce Willis,7.1
2008,112,Andy Tennant,Matthew McConaughey,5.7
2015,126,Alan Taylor,Arnold Schwarzenegger,6.3
2019,120,Neil Marshall,David Harbour,5.2
2005,100,Mike Mitchell,Kurt Russell,6.3
2013,134,Paul Greengrass,Tom Hanks,7.8
2016,99,Babak Najafi,Gerard Butler,5.9
2018,116,Otto Bathurst,Taron Egerton,5.3
2012,93,Dan Bradley,Chris Hemsworth,5.3
2004,127,Sam Raimi,Tobey Maguire,7.4
2013,116,Scott Cooper,Christian Bale,6.7
2014,92,Gary Shore,Luke Evans,6.2
2021,121,Robert Schwentke,Henry Golding,5.4
2001,95,Gary Trousdale,Michael J. Fox,6.9
2018,128,Christian Rivers,Hera Hilmar,6.1
2012,132,Andrew Stanton,Taylor Kitsch,6.6
2001,106,John Moore,Gene Hackman,6.4
2009,107,Gavin Hood,Hugh Jackman,6.5
2012,84,Josh Trank,Dane DeHaan,7.0
2003,117,Clark Johnson,Samuel L. Jackson,6.0
2008,111,David Gordon Green,Seth Rogen,6.9
2012,131,Oliver Stone,Aaron Taylor-Johnson,6.4
2018,121,David Mackenzie,Chris Pine,6.9
2015,114,Ericson Core,Edgar Ramírez,5.3
2013,128,Carl Rinsch,Keanu Reeves,6.2
2019,125,Kasi Lemmons,Cynthia Erivo,6.7
2005,119,Joss Whedon,Nathan Fillion,7.8
2018,102,Julius Onah,Gugu Mbatha-Raw,5.5
2016,123,Paul Greengrass,Matt Damon,6.6
2017,124,Dean Israelite,Dacre Montgomery,5.9
2011,111,D.J. Caruso,Alex Pettyfer,6.1
2011,110,Zack Snyder,Emily Browning,6.0
2008,137,Edward Zwick,Daniel Craig,7.1
2022,104,Henry Joost,Owen Wilson,5.1
2014,102,Noam Murro,Sullivan Stapleton,6.2
2014,142,Marc Webb,Andrew Garfield,6.6
2002,124,Rob Cohen,Vin Diesel,5.8
2011,154,Michael Bay,Shia LaBeouf,6.2
2012,109,David Ayer,Jake Gyllenhaal,7.6
2013,109,Neill Blomkamp,Matt Damon,6.6
2004,175,Oliver Stone,Colin Farrell,5.6
2022,122,Simon Kinberg,Jessica Chastain,5.5
2003,110,Stephen Norrington,Sean Connery,5.8
2003,134,Bryan Singer,Patrick Stewart,7.4
2021,103,Everardo Gout,Ana de la Reguera,5.4
2009,149,Michael Bay,Shia LaBeouf,5.9
2016,123,Duncan Jones,Travis Fimmel,6.7
2011,90,Jennifer Yuh Nelson,Jack Black,7.2
2021,118,Jaume Balagueró,Freddie Highmore,6.4
2002,107,Kurt Wimmer,Christian Bale,7.3
2016,107,Peter Berg,Mark Wahlberg,7.1
2013,112,Alan Taylor,Chris Hemsworth,6.8
2017,118,Patrick Hughes,Ryan Reynolds,6.9
2009,118,Stephen Sommers,Dennis Quaid,5.7
2013,126,James Mangold,Hugh Jackman,6.7
