year,runtime,director,star,rating
2018,146,Dustin Ferguson,Lloyd Kaufman,4.2
2013,64,Jarand Herdal,Harald Evjan Furuholmen,3.0
2016,88,David Maga,Dominique Storelli,2.8
2013,58,Rodney Dwira,Christian Bako,7.0
2017,108,Steve Rahaman,Daniel O'Shea,7.8
2015,80,Matt Storc,Amy Masterson,4.4
2014,85,Mark Colombo,Jim Duggan,7.1
2006,113,Gaspar Hernandez III,Joe Estevez,4.4
2018,107,Luke Tedder,Adam J. Bernard,4.9
2006,85,Damian Chapa,Damian Chapa,4.3
2013,90,Andrew Fierberg,Miguel Rodarte,6.8
2020,70,Robbie Lopez,Abbey Briscoe,3.3
2014,86,Kerry Beyer,Eric Roberts,6.7
2014,89,Marek Budzynski,Vas Blackwood,6.3
2018,85,Christoph Kositza,Javier Badillo,5.0
2013,91,Rebekah Stought,Jason Curtis,8.0
2015,70,Bobby Easley,Phil Anselmo,6.4
2001,96,Matthew George,Lachy Hulme,4.9
2008,80,Douglas Elford-Argent,Danielle Dipietro,6.8
2004,98,Scott Firestone,Brenda Bakke,4.5
2013,91,Antonio James,Keith Goff,7.7
2012,63,Joseph Villapaz,Anna Landreth,5.8
2009,72,Bob Bragg,TJ Myers,6.6
2012,94,Radu Vlad,Radu Vlad,6.0
2007,90,Othello Khanh,Dustin Nguyen,5.6
2016,66,Bob Fuentes III,Zack Cohen,3.2
2001,75,Aaron Yamasato,Bryan Yamasaki,5.1
2011,90,Dean Gold,Ben Seton,3.9
2007,132,Izuru Narushima,Tatsuya Fuji,4.5
2011,75,James Ryan Gary,Michael Sharpe,4.2
2013,79,Micah Brock,Micah Brock,8.2
2017,108,Jah,Ajibike Adekoya,7.0
2017,80,William Adams,Aaron Hill,7.6
2009,85,Clayton Miller,Bradley Dorsey,5.9
2015,90,David G. Radford,Lance Blaylock,4.3
2009,91,Aaron Brown,Allison Boyle,5.1
2005,90,Emilio Ferrari,Cleto Augusto,5.5
2018,101,Nick Smith,R.W. Smith,3.3
2019,94,Shunsuke Tada,Aya Endô,7.8
2001,81,Richard Mauro,John-Luke Montias,4.0
2009,87,Gilbert Khoury,Dulce Felix,6.3
2012,87,Christian Filippella,Eric Roberts,4.2
2014,84,Michael Bonomo,Bill Oberst Jr.,4.6
2006,91,James Eaves,George Anton,3.1
2012,85,Shan Serafin,Chloe Zak,4.7
2012,90,Romane Simon,J. Kristopher,8.9
2012,88,Jack Martin,Mitch Lydon,6.8
2017,62,Jack Veasey,Richard Summers-Calvert,6.6
2010,90,Mustapha Khan,Cedric Sanders,6.3
2001,86,Mark Steven Grove,Julian Lee,5.5
2009,90,Damian Bailey,Anissa Chalmers,4.5
2015,100,Lawrence Lee Wallace,Carly D. Anderson,7.4
2019,95,Ethan Stephens,Landon Brooks,5.9
2011,75,Nathan Hill,Nathan Hill,3.8
2022,65,Jared Campbell,Sky Brady,8.6
2021,91,Beau Yotty,Beau Yotty,3.1
2015,76,Josh Webber,Joey Napoli,5.2
2003,95,Georgio,Alex Avant,6.0
2008,100,Zornitsa Sophia,Assen Blatechki,6.5
2001,77,Detdrich McClure,Ice-T,4.2
2016,107,Ryan Prince,Rachel Schrey,7.8
2015,93,Shawn Chou,Maria Olsen,5.8
2009,180,Tariq Khan,Anita,4.2
2019,79,Todd Magnuson,John Barnes,5.5
2011,71,Jonny Strellman,Greg Birkholz,6.9
2003,91,Jalal Merhi,Christina Cox,5.2
2009,91,Corey Adams,Anthony Amedori,6.6
2011,98,Arik Renee Avila,Charles Duran,7.5
2011,55,Raphaël Hernandez,Alexandre Rodriguez,4.5
2009,76,Ben Bachelder,Kristopher Bowman,6.0
2000,90,Tom Putnam,Morgan Rusler,4.1
2017,121,Jeff Estinel Bazile,Marcus Brandon,7.4
2014,90,Richard Griffin,Nathaniel Sylva,3.9
2015,85,Eros D'Antona,Alex Lucchesi,6.9
2017,99,Frank Rajah Arase,Sam Dede,6.9
2000,100,Gerry Lively,Frank Zagarino,4.4
2015,84,Jon Jost,Blake Eckard,6.0
2009,70,David T. Krupicz,Katie Uhlmann,6.9
2009,90,Raoul W. Heimrich,Gary Dourdan,3.7
2017,83,Jack Davis,Adrienne Fischer,7.6
2019,87,Rizal Halim,Roham Ahari,6.7
2008,97,Richmond Riedel,Joey Lanai,4.9
2017,83,Tim Ritter,Stu Alexander,3.9
2003,92,Terence H. Winkless,Jeff Stearns,2.6
2008,89,David J. Francis,Mike Masters,5.2
2006,100,Fred Carpenter,Craig Weintraub,8.2
2013,100,Ray J. Martenstyn,Kate Leinster,6.0
2016,97,Lolo Loren,Patrick Poe,7.6
2010,87,Juan Carlos Vargas,Danny Vasquez,3.3
2016,87,Stuart White,Matt Oxley,4.4
2019,88,Marcos Soriano,Malik Stalbert,5.2
2013,89,Tara Cardinal,Tara Cardinal,5.2
2010,77,William Wedig,Manny Perez,4.8
2011,118,Belinda M. Wilson,Temilola Akapo,4.8
2015,60,Luan Wolters,Gustavo Ruben Valenzuela,5.3
2016,110,Richard Benter,Joe O'Dell,3.2
2014,80,James Thomas,Dave Finn,3.4
2015,70,Mike Reeping,Thomas Reeping,3.1
2013,80,Jeremy Fultz,Matt Cinquanta,7.3
2013,110,Jarod O'Flaherty,Restin Burk,6.6
2015,120,Taras Demian Groves,Adam Dada,8.3
2018,64,Eleni Romanias,Rick Dutrow,2.7
2020,71,Morris D. Small,Morris D. Small,5.2
2010,75,Brett Kelly,Derick Fage,1.5
2004,76,Anghus Houvouras,D.J. Naylor,4.2
2009,90,Rick Cooper,Rick Jordan,5.0
2018,71,Mark Polonia,Steve Diasparra,3.3
2018,87,Matthias Olof Eich,Sebastian Badenberg,6.6
2019,89,Gary Bell,Josh Hartley,4.6
2009,90,Gouzalia Van Mater,Gouzalia Van Mater,6.9
2003,120,Carlo J. Caparas,Ara Mina,3.8
2016,87,Marc Hamill,Carl Hamill,4.0
2016,79,Liam O'Connor-Genereaux,Leo Manzari,7.4
2006,75,Dominic Jackson,Chris Bland,1.9
2013,88,Rene Fabre,Jay Mckay,7.5
2011,82,Gilbert Khoury,Nick Stojanovic,7.4
2010,88,John Bianco,John Bianco,2.8
2015,85,David T. Krupicz,Sandra DaCosta,6.4
2013,136,Ankush Bhatt,Sachiin Joshi,5.1
2015,62,Patryk Wawer,Monica Ochea,8.2
2015,91,Aaron Warren,Hans Hernke,5.6
2017,56,Elena Altman,Elizabeth Aaron,3.2
2014,90,Lance McDaniel,Lymari Nadal,6.8
2009,87,Pedro Chaves,Martin Swabey,7.5
2012,87,Jay Tando,Kirk Ramage,7.9
2016,63,Andrew Legatt,RaeAnn Athman,5.5
2014,99,Tony Clarke,Simon Lewis Marriott,5.1
2018,81,Marcus Dartagnan,Carol Castro,4.5
2011,101,Steve Rahaman,Nigel Harvey,8.3
2015,104,Timothy Christian,Ambyr Pruitt,7.1
2017,92,Michael Fredianelli,Jeremy Koerner,5.5
2013,85,Faolan Jones,Caine Agbenisi,7.6
2015,137,Annaiah,Ashwini,5.5
2013,102,Michael Fredianelli,Carl Schreiber,8.2
2011,100,Dudley Christian,Jason Liesch,7.5
2022,160,Anthony N. Wright,Kyle Ament,9.2
2016,114,Emiliano Ruschel,Emiliano Ruschel,3.7
2017,89,Kaysey Strong,Kaysey Strong,7.0
2019,79,Chris D. Davison,Derrick De-Mond,7.2
2004,82,Joseph Friel,John Tague,4.6
2010,75,S.N. Sibley,Chris J. Allan,4.5
2017,87,Daniel Critchfield,Jocelyn Jae Tanis,7.0
2018,45,Jason Radcliffe,Brittney Paul,5.1
2016,56,Mark K. Buddington,Mark K. Buddington,8.6
2013,96,Brett William Mauser,Bradley Bates,6.1
2011,90,Alvin Gray,Dylan Silver,7.2
2010,90,Jordi Llompart,Eva Gerretsen,3.3
2009,91,Johan Heyns,Ivan Botha,5.0
2014,112,Michael A. Migliore,Eddie Benevich,5.7
2014,103,Al G. Sillah,Shaniqua Adams,6.3
2015,59,Jonathan Rios,Kaycee Anne,4.3
2015,90,Jordan Kensington,Jordan Kensington,8.1
2004,127,Makrand Deshpande,Manoj Bajpayee,6.1
2009,90,Stephen Manuel,Steve Guttenberg,3.6
2004,85,Terri Cascimo,Diana DeLaCruz,8.1
2012,100,David Barras,Toby Manley,7.3
2021,86,Jason Toler,Levi Bowling,4.1
2016,90,Jason Levering,Garrett Sheeks,6.0
2020,92,Roberto Garcia,Roberto Garcia,7.7
2016,80,Ryun Yu,Richard Azurdia,7.6
2014,84,Julian Cheah,Rod Manikam,5.3
2019,122,Simon A.,Simon A.,6.2
2003,95,Patrick Moug,Joey Albright,5.8
2011,63,Pat Diablo,Paul Kraig,7.7
2014,128,M. dot Strange,Damon Barry,6.8
2016,94,Michael William Gordon,John Major Davis,4.6
2014,80,Berenika Bailey,Adia Dinh,5.3
2020,99,Michael Fredianelli,Robert Paine,5.2
2010,60,Eric Manche,Jordan Lee,5.5
2010,95,Jan Hryniak,Piotr Adamczyk,5.6
2011,125,Aleksey Sidorov,Stephen Au,5.7
2021,56,Josiah Martin,Larry Baxter,4.5
2014,99,Ronnie Brolin,Rikard Björk,6.0
2016,53,Jonathan Rios,Kaycee Anne,4.9
2010,87,Ross Bigley,Bai Ling,6.1
2013,90,Geovanni Molina,Geovanni Molina,5.6
2020,90,Euros Jones-Evans,Cengiz Dervis,4.5
2009,88,Michael Charron,Robert Z'Dar,6.0
2007,80,Matthew Broomfield,Nicole Alexander,1.9
2018,90,Mengxi Tao,Yongli Che,5.5
2002,90,Scott Morgan,Nicki Arviso,2.1
2000,90,Derek Velez Partridge,Reiko Aylesworth,5.7
2012,88,Curtis Cleveland,Darren Arsenault,6.5
2016,78,Kelvin Beer,Andy Pierce,6.6
2009,92,James Pronath,Kevin Kiser,3.5
2018,86,Saquan Jones,Shadner Ifrene,4.3
2012,97,André Joseph,Chris Corulla Jr.,7.2
2010,81,Chris Evans,Ben Small,8.2
2005,77,Adam Stephenson,Nathan Thomas,5.7
2014,55,Ramsey Eassa,Tom Mariano,7.0
2017,75,Mark Polonia,James Carolus,2.9
2000,90,Peter Maris,Billy Parish,5.7
2007,113,Hansal Mehta,Mithun Chakraborty,3.7
2019,53,Wade Austin,Mitchell Bradford,8.2
2009,89,William Hellmuth,Jordan Warren,6.2
2010,70,Meridian Leigh,Scott Bailey,7.8
2008,95,Aleks Rosenberg,Claudia Davila,3.8
2016,94,Alex Maisonette,James Dinonno,4.5
2013,94,Nicholas Sailer,Charles B. Allen,8.0
2014,90,Jean-Marc Minéo,Zakaria Ramdane,3.8
2010,75,Kevin Anderson,Kevin Anderson,7.3
2020,72,Connor Hearn,Connor Hearn,8.5
2009,110,Richard Widmack Belot,Mark Antony,7.0
2017,115,Derek Roy,Billy Cameron,8.9
2013,80,Guy Patton,Jennifer Barnes,2.6
2005,98,Damian Chapa,Damian Chapa,3.6
2004,81,Nicholas Jacobs,Michael Massengale,6.9
2015,98,Francis Hamada,Beth Bemis,1.1
2019,49,Trifon Dimitropoulos,Shervin Barekat,7.6
2006,83,Quanie Cash,Quanie Cash,4.6
2012,131,Eric Thornett,Bette Cassatt,4.6
2020,79,Rich Rule,Deget Bundlez,8.3
2014,89,Jarrod Crooks,Jarrod Crooks,7.3
2008,110,Vitor Santos,Nancy Calas,5.1
2016,97,Nicholas Molinari,Alyssa Accardo,5.0
2010,90,Bennie Woodell,Leena Kurishingal,4.7
2005,87,Ole Schell,Danton Mew,6.0
2007,100,Derek Chiu,Zhiwen Wang,6.1
2016,75,Rubidium Wu,Clem McIntosh,5.1
2011,90,Christian Claudio,Nick Alford,8.3
2018,127,Matt Greenhalgh,Cheryl Ashcroft,4.6
2012,90,Tamer Garip,Jolie Lennon,5.0
2017,90,Manuel Vogel,Viviana Ross,6.4
2013,109,Peng Zhang Li,Hilma Falkowski,3.6
2010,98,Arthur Luhn,Charlie Alejandro,5.3
2016,113,Colin Alwin Harris,Inga Eiss,5.3
2013,57,Ivan Pavletic,Ivan Pavletic,7.8
2011,95,Bill Little,Mike Mitchell,6.4
2015,66,Franklin Correa,Franklin Correa,4.5
2011,82,Dan Jimenez,Al Bianchi,7.2
2014,148,Ebony Wilson,Jessica Angeline,4.1
2016,95,Mj Dixon,Francesca Louise White,4.4
2019,90,Fred Carpenter,Elke Blasi,8.8
2021,96,Dorie Barton,Richard Follin,4.2
2017,90,Damian Perkins,José Solano,8.0
2012,86,Tobias Canto Jr.,Chelsea Bowdren,2.6
2009,90,Djonny Chen,Jamie O'Keefe,4.7
2021,84,Nancy Vazquez,Nancy Vazquez,4.7
2007,84,Harold Gasnier,Michael Howe,8.2
2013,95,Alex Maisonette,Michael Wright,4.2
2012,90,Wilbur Eddings,Stephen Preston,4.6
2015,82,John Reign,Thomas Daniel,4.5
2020,66,Ashley Hays Wright,Ashley Hays Wright,5.2
2015,86,Alan Walsh,Glen Baker,6.4
2010,85,Keith Mosher,Dean Mauro,7.6
2009,77,Nika Akhvlediani,Nutsa Kukhianidze,5.3
2005,98,Richard Lowry,Blane Wheatley,6.8
2017,110,R.R. Baker,Tatiane Amnuar,3.9
2004,82,Conrad Glover,Aida Angotti,5.3
2000,86,Kenneth Guertin,John Reneaud,6.3
2009,95,Michael Heneghan,Alex Albrecht,7.2
2019,127,Joshua Armstrong,Joshua Armstrong,4.8
2007,78,Alex Bica,Noah Sunday,7.0
2014,80,Myster DL,B-Real,7.9
2014,125,Henderson Maddox,Robin Givens,7.2
2019,93,Ryan Cadaver,Joseph Paul Watts Sr.,8.7
2015,117,Justin Hunt,Brandi Wethington,8.2
2021,50,Jack Vickers,Jacob Fountain,8.1
2022,60,Kumud Pant,Kumud Pant,10.0
2018,86,Michael Hatch,Vito de Francesco,3.4
2007,115,Valeriy Nikolaev,Valeriy Nikolaev,5.4
2015,87,Edris Ne,Dibyendu Bhattacharya,7.0
2004,112,Andreas Brandy,Semos Gardner,4.2
2017,106,John Davis,Connor Gray,5.9
2013,98,Rody Claude,Rody Claude,6.9
2006,114,Nicholas Gyeney,Scott Gabelein,3.3
2009,102,Praful Tiwari,Amarjeet,4.5
2014,70,Ed Glaser,Peter A. Davis,4.8
2009,85,Igor Voloshin,Henry David,5.0
2017,90,Maurice Smith,Karolina Antosik,3.0
2002,96,Mark Eisenstein,David Johansen,8.3
2012,100,Tony Zarindast,Amin Hayayee,3.9
2016,95,Maradona Dias Dos Santos,David O'Hara,7.0
2015,126,Ray Rudy,Caroline Amiguet,6.5
2007,72,Omid Shabkhiz,C.J. Baker,6.9
2014,70,Len Kabasinski,Jawn Gross,5.0
2014,65,Jeanne Jo,Sean Young,8.0
2012,105,Johnny Coughlin,Black Jack Johnson,4.8
2021,83,Webbo,6 Keys,3.8
2013,81,Patrick Ryan Sims,Dane Bowman,3.6
2017,97,Wen-tang Cheng,C.J. Kao,4.3
2019,46,Achyut Prashast Singh,Achyut Prashast Singh,3.0
2017,46,Max Coultan,Felix Nicholls,8.3
2000,87,Danny Buonsanto,Dan De Luca,5.0
2015,87,Jonathan Schwark,Gerard Lima,5.9
2015,60,Christian Ackerman,Chase Ackerman,2.3
2012,86,J.A. Steel,Gil Gerard,4.6
2005,90,Christopher Forbes,Gabriel Baxley,4.7
2012,79,Joe Clarke,Becca Anderson,8.1
2014,98,John Tillotson,Pooja Batra,7.7
2011,76,Thanos Tsavlis,Thanos Tsavlis,7.6
2020,62,Hussain Ahmad,Lizy B,6.4
2012,93,Joe Davison,Cheyenne Buchanan,3.6
2010,71,Luis Landivar,Diego Kelman Ajuz,6.1
2015,93,Jay Taylor,Johnny Alonso,8.1
2011,90,Kenneth Castillo,J.R. Yenque,7.0
2021,59,Pavan Kumar Rajamahendravarapu,Ratnesh Rai,6.1
2001,106,Jeremy Gosch,Jeni Chua,6.4
2002,99,Paul Wynne,Gary Cruz,4.6
2013,88,Ken Simpson,Anthony Alviano,6.6
2014,80,Kristian Messere,Kristian Messere,6.2
2014,110,Yuriy Moroz,Maksim Matveev,4.6
2010,80,Taegen Carter,Ben Furmaniak,4.8
2012,99,Ronnie S. Riskalla,Drew Pearson,5.9
2016,90,Chaun Pinkston,Elizabeth Cooper,6.6
2009,97,Ralph E. Portillo,Aryeh-Or,5.5
2016,95,Bradley Creanzo,Bradley Creanzo,7.9
2016,82,Carter Johnson,Ben Andrews,5.6
2005,90,Michael J. Heagle,Jonathan Adams,2.7
2013,120,Don Okolo,Ramsey Nouah,6.8
2004,80,John Azpilicueta,Kid Frost,7.9
2000,83,Paul T. Scheuring,Gale Harold,7.8
2008,74,Marc Gracie,Gary Sweet,5.9
2004,94,Jing Wong,Nicholas Tse,6.1
2009,115,Ali Paterson,Kevin Leslie,4.5
2012,135,Percy Lallemang,Olivier Biwer,3.6
2010,130,Keizô Kusakawa,Yukari Tamura,6.8
2000,86,Eric Thornett,David Lee Stewart,8.0
2009,118,Joe Valenti,David Wenzel,3.4
2012,47,Tom Norton,Melissa Anschutz,3.8
2015,105,Dennis Vehlen,Dennis Vehlen,7.7
2008,65,David Blanc,Michelle Gracie,4.0
2020,61,Marley Allen,Rj Antry,2.3
2008,94,James Richards,Avelino 'El Rico' Lescot,3.6
2011,150,Puneet Issar,Gulzar Chahal,5.3
2011,91,Michael Chuah,Michael Chuah,5.9
2009,80,Lamonte Moore,Jamie Burton-Oare,8.2
2017,75,Brigham McNeely,Albert Beck,6.7
2014,98,Mike O'Dea,Alexander Cook,7.8
2009,90,Paul T.T. Easter,Paul T.T. Easter,3.0
2008,98,Sakchai Sribonnam,Pisan Akaraseni,4.1
2007,86,J.A. Steel,Heather Surdukan,2.4
2010,90,Volt Jones,Eric Jacobus,6.7
2011,70,Hamad A. Ali,Hamad A. Ali,7.2
2021,95,Sérgio Conceição,Sérgio Conceição,6.8
2003,88,Robbie Moffat,James Watson,3.6
2008,94,Siu-Hung Chung,Jordan Chan,5.5
2021,136,Jordan Wilson,Jordan Wilson,8.4
2019,95,Bekir Kulozu,Richard Cerqueira,6.2
2012,103,Banzragch Batbold,Odongavaa Amgalanbaatar,3.4
2015,85,Ewan Gorman,Brenock O'Connor,6.2
2012,78,Juliana Reis,Gustavo Machado,5.4
2001,87,Shundo Ohkawa,Rei Kikukawa,4.2
2016,108,Brian Lutes,Brian Asselin,4.0
2015,75,Steve Avon,Randall Aldana,8.2
2016,83,Chris Gainsbury,Michael L. Knight,6.4
2018,93,Aibek Daiyrbekov,Omurbek Izrailov,6.9
2015,134,William Lee,Joe Estevez,7.5
2009,76,Brett Kelly,Brett Kelly,1.7
2004,101,Todd E. Freeman,Jason Sabala,5.3
2004,89,Paul E. Eliacin,Ice-T,5.0
2010,87,Rene Perez,Robert Amstler,4.2
2015,90,Jim DeVault,Robb Hudspeth,2.1
2005,90,Eric Kepner,Chris Tschupp,6.8
2017,80,Michele Frantzeskos,Michele Frantzeskos,7.8
2006,150,Mildred Okwo,Iyabo Amoke,6.2
2009,98,Alexander Kominek,Scott Roberts,4.3
2017,75,Mike Burstyn,Yiftach Klein,7.0
2009,91,Keith Schwebel,Rebecca Cardon,7.1
2005,103,Lee Cipolla,Joshua Lamboy,2.9
2014,115,Mike Meyer,Lindsey Marks,6.9
2012,83,Manolis Damianakis,Fotis Armenis,4.0
2002,106,John Bolton,Rochelle Greenwood,5.7
2016,81,Michael Dragnea,Hugh Lambe,3.8
2008,65,Angelo Lopes,Grant Bashore,5.9
2008,92,Rodney Dwira,Nathan Allard,4.1
2011,71,Nicholas Holland,Chelsea Rauss,4.8
2002,111,Smith Timsawat,Charlene Amatavanich,5.5
2015,106,Jah,Jah,3.5
2002,101,Charles Solomon Jr.,L.M. Kit Carson,5.2
2016,55,John Balazs,James Conrado,8.0
2010,92,Vinod Mukhi,Jai Kalra,3.9
2007,73,Kent Butterworth,Michael Carnegie,7.0
2012,122,M. dot Strange,JP Anderson,5.8
2016,107,Jake Hulse,Andrew Casanova,5.4
2006,71,Eric Walter,Ken Johnson,7.2
2014,75,Kareem A. Davis,Gregory Alan Williams,3.3
2017,130,Baby Nebrida,Matteo Guidicelli,6.6
2013,81,James Peniata,Alex Acosta,6.0
2011,72,Larry Greene,Charles Adames,3.7
2015,89,Mark Charles Adams,Marc Arturi,5.1
2003,90,Yossi Wein,Jim Davidson,2.4
2005,98,Neil Oseman,Ray Bullock Jnr,3.7
2016,105,Jay Sommerville,Young Dro,6.2
2018,118,Mike Olafson,Will Beckingham,9.4
2012,56,Forrest Whaley,Mason Howerton,7.8
2007,70,Jason Roth,Jon Gleason,4.6
2019,90,Joe Black,Tyler Aser,3.6
2009,103,Rakesh Chaturvedi Om,Rishi Bhutani,5.2
2013,60,Neehar Cherabuddi,Derek Adam,8.7
2009,98,Paul Marrin,Andrew Ainsworth,3.6
2000,97,Jason Wolthuizen,Shane Minor,5.1
2011,85,Chuck Walker,Ashley Atwood,7.5
2000,102,Wojciech Wójcik,Peter J. Lucas,5.6
2009,103,Daniel Shulkin,Chris Bargis,5.2
2015,86,Marcello Zamarripa,Marcello Zamarripa,5.4
2014,107,Rahul Verma,Aj Rascon,8.1
2019,90,John Michael Hightower Jr.,John Michael Hightower Jr.,3.5
2004,114,Brian Clyde,Dennis 'Dyaus' Cintron,7.7
2004,94,Juan Frausto,Eric Aviles,4.7
2016,79,Lanre Sarumi,Lanre Sarumi,7.2
2010,89,Joe Francis,David Ayers,6.2
2021,120,Ron Hanson,Gianna Frangella,6.4
2009,81,Brant Johnson,Joe Knetter,4.9
2004,76,Cliff Hensley,Kimberly Page,6.3
2010,85,Robert Aldrich,James Howarth,4.8
2012,95,Frank E. Jackson Jr.,Chaka Balamani,8.1
2009,85,David Matheny,M.A. Alford,7.0
2016,76,Andrew Rotondi,James Alonardo,8.5
2008,88,Ryan Harper,Victor Abasolo,3.9
2012,78,Tim Deacon,Jeong-ho Choi,5.9
2012,129,David C. Hoke,Chris Cox,4.7
2004,91,Viktor Ivanov,Josh Holland,4.9
2019,50,Kris Smith,Sammie Lei,5.0
2017,97,Clint Gaige,Justyn Christofel,4.5
2013,106,Bruny Telfort,Krystal Arguello,8.8
2018,147,Stephen Armourae,Stephen Armourae,6.1
2012,107,Nick Walker,Cade Tomasegovich,6.6
2010,80,Ken Amlin,Melissa Amlin,3.9
2014,94,Alfredo Ramos,Ronnie Alvarez,3.7
2014,64,Alfredo Torella,Bandito,7.6
2013,90,Michael Glier,Louis Pappas,5.6
2013,114,Qunshu Gao,Angelababy,5.0
2015,99,Terry Allen,Samuel Thomas,7.3
2010,90,Mathieu Weschler,Matt Challands,6.4
2013,90,Sein Qudsi,Adi Putra,6.0
2001,100,Gregory Wilson,Yancey Arias,5.9
2020,70,Bud Banister,Lisa Cronauer,4.0
2012,79,Stanislov Stanislovski,Kaleigh Baugh,7.5
2012,92,Sean Klisiewecz,Jennifer Brown,7.2
2009,96,Eldar Salavatov,Gosha Kutsenko,5.8
2011,82,Dave Osborne,Aris Athanasopoulos,5.3
2008,85,Mark Duncan,Paul Logan,5.3
2006,78,Jason Stephenson,Nicole Blessing,4.3
2011,70,Clay Von Thomas,Jerry Della Salla,7.7
2005,119,Kenya Cagle,Mary Sarah Agliotta,8.0
2019,93,Arturo Portillo,Frank Powers,5.8
2014,81,Bob Bragg,Cheryl Burns,3.7
2011,73,Ivan Malekin,Tom Vogel,5.0
2008,108,Michael D. D'Andrea,Richard Buonagurio,8.0
2009,74,Jon Mancinetti,Steve Abang,6.6
2018,85,Jason Xiang,Tengyuan Liu,5.1
2012,80,Will Martin,Kelvin Girdy,7.9
2010,98,Tom Breedlove,Trey Alley,3.6
2006,95,Brian Lawrence,Derek Denham,5.4
2006,116,Nobuyuki Takahashi,Haruma Miura,6.1
2011,92,Matthew Barber,Nathaniel Barber,6.3
2001,90,Ken Daurio,Aaron Bruno,4.9
2010,90,Kurt Donath,Nikayla Baldomero,5.9
2019,86,Tony Pana,Margaux Colarusso,4.8
2014,98,Matthew Van Howe,Petro Andryvyz,7.8
2022,63,Ross Holman,Bianca Holman,9.3
2017,92,Tino Struckmann,Greer Bishop,4.5
2007,80,Adam Deyoe,Tim Allen,5.9
2016,91,Marcus Shakesheff,Marcus Shakesheff,4.5
2016,52,Tate Becherer,Sal Altobellis,8.2
2018,46,Dominic Goodie,Randy Carr,4.0
2016,93,Del Weston,Ryan Burke,8.7
2012,62,Chris Clark,David B. Stewart III,4.9
2010,120,Jahmil X.T. Qubeka,Vusi Kunene,5.8
2008,82,Mike Conway,Brian Sheridan,3.6
2002,83,Gerald Barclay,Gano Grills,5.3
2009,90,Kristopher Bishop,Ryan McDaniel,5.0
2010,85,Chris Witherspoon,Audrey Walker,4.4
2013,74,Timothy Woodward Jr.,Timothy Woodward Jr.,3.0
2008,81,Morten Willoch Wærø,Kenny Low,4.8
2004,53,Ara Paiaya,Ara Paiaya,7.3
2001,60,Jim Mendiola,Jesse Borrego,8.2
2014,90,Andrew St Maur,Vin Hawke,5.0
2020,51,Shaarath Vihari,Shaarath Vihari,8.4
2019,75,Tony Tanelli Oliver,Kara Anthony,5.2
2014,97,Aleksey Zalevskiy,Leeshon Alexander,8.1
2013,161,Scotty Whitehurst,John Baxter,5.8
2007,91,Vladimir Potapov,Kamran Abdulaev,5.6
2004,99,Dante Lam,Aaron Kwok,5.5
2020,149,Jordan Wilson,Jordan Wilson,7.0
2014,77,Jarvis Alston,Trevor Alston,7.6
2006,74,Anne Dudek,Drew Porter,6.0
2009,85,Chase Sui Wonders,Chase Sui Wonders,6.8
2020,69,Moussa Fany Traore,Sandro .Rise,7.7
2015,101,Edo Natasha,Quantae Love,6.1
2015,80,Kevin Richmond,Clemeen Connolly,4.3
2008,90,Gabriel Howard,Richard Forsyth,5.3
2003,116,David B. Craig,Dean Paul IV,4.5
2018,91,Aliki Danezi-Knutsen,Themis Bazaka,5.9
2004,92,Will Wallace,Will Wallace,7.6
2014,45,Jonathan Rios,Jaclyn LeDoux,4.8
2013,99,Cameron Scott,Linnea Quigley,6.3
2009,114,Robert Frank,Randall Krongard,5.4
2003,80,David Kim,Dong Jin Kim,4.2
2009,99,Alex Vigano,Ron Elwell,7.7
2017,77,James Lee,Sharifah Amani,5.2
2010,83,Tyler Hickman,Bryan Stewart,6.3
2021,120,Thiago Moyses,Jack Berraquero,7.1
2016,92,Nabwana I.G.G.,Wephukulu Anthony,8.7
2007,99,Juney Smith,Jonathan Sale,6.0
2001,50,Michael Cargile,Sean McEwen,4.3
2005,110,Brandon Slagle,Brandon Slagle,7.2
2013,126,Donald Lanouette,Brian Lutes,6.8
2012,89,Dylan Formo,Amanda Baskett,4.1
2008,72,Eddie Mort,Armando Valdes-Kennedy,6.2
2010,87,Greg Moser,Doug Dupuis,3.5
2007,93,Kely McClung,Kely McClung,7.2
2015,90,Edward Martin III,Heather Abbott,6.3
2012,88,Michele Fiascaris,Lorenzo Richelmy,7.4
2014,89,Garry Sykes,Leanne Rutter,7.8
2007,107,Danuta Klosowski,Christopher Trunell,3.8
2017,95,Dewey Allen,Dewey Allen,3.8
2017,82,Bueno,Sakura Fujiwara,5.0
2005,90,S.N. Sibley,Ken Mood,6.8
2018,45,George Anton,George Anton,7.8
2015,62,Damien Valentine,Kim Genly,7.6
2012,67,Matthew Douglas Grzeszak,Anthony T. Arsulowicz,7.5
2016,74,Emir Skalonja,Kay Baun,6.6
2018,110,Jezar Riches,Harley Wallen,3.7
2016,58,Cameron Dodd,Mark Ricci,6.3
2015,90,Ryan Staples Scott,Wil Crown,6.6
2010,50,David Dietrich,Hunter G. Williams,8.2
2009,100,Topel Lee,Manny Pacquiao,5.3
2014,75,Justin Decloux,Christian Murdoch,6.4
2020,83,Tolin Eddy,Tolin Eddy,7.6
2017,74,Emir Skalonja,Mirela Ajdimovski,8.3
2010,83,Damian Chapa,Ricco Chapa,7.0
2015,94,Dustin James Leighton,Dustin James Leighton,4.7
