movie_id,year,certificate,runtime,director,star,rating
tt8405840,2020.0,,85 min,R.L. Scott,"Emilien De Falco, 
Shaun Mixon, 
Kevin Lukata, 
Veto Swarn",
tt4107028,2020.0,,79 min,Rich Rule,"Deget Bundlez, 
Eli Tracewell, 
Cody Gutberlet, 
Kristin Mitchem",8.3
tt3228730,2014.0,,89 min,Jarrod Crooks,"Jarrod Crooks, 
Katrina Kluemein, 
Kaylyn Statza, 
Jose Manuel",7.3
tt0972878,2008.0,Not Rated,110 min,Vitor Santos,"Nancy Calas, 
Chris Carberg, 
Brandon Chase, 
Lynn Chase",5.1
tt22984314,2022.0,,,R.L. Scott,"Joshua Moore, 
Isabell Harrison, 
Sirelle c Wilkerson, 
Jordan Cann",
tt2312748,2022.0,,96 min,Robert Burke,"Tristan Erwin, 
Alexa McConville, 
Ryan St. Martin, 
Jennifer Hague",
tt5225874,2016.0,,97 min,Nicholas Molinari,"Alyssa Accardo, 
Chase Andersen, 
Christina Cappelli, 
Carly Dufford",5.0
tt1583754,2010.0,Not Rated,90 min,Bennie Woodell,"Leena Kurishingal, 
Will Cummings III, 
Chad Meyer, 
Charles Ramsey",4.7
tt3985694,2015,,,Ryan Callaway,"Tiffany Browne-Tavarez, 
Ryan Callaway, 
Nicole Im, 
Greg Pantaleo",
tt15744628,2022.0,,,Nabwana I.G.G.,,
tt0439789,2005.0,,87 min,Ole Schell,"Danton Mew, 
Cliff Tang, 
Allen Theosky Rowe, 
Owen Thomas",6.0
tt2431458,2018,,,Gregory Rhoades,"Gregory Rhoades, 
Sadie Katz, 
Suziey Block, 
Carl W. Crudup",6.3
tt1121801,2007.0,,100 min,Derek Chiu,"Zhiwen Wang, 
Yi Huang, 
Rongguang Yu, 
Andy Lau",6.1
tt5142898,2016.0,,75 min,Rubidium Wu,"Clem McIntosh, 
J.D. Brown, 
Bern Cohen, 
Aurora Leonard",5.1
tt2101403,2011.0,,90 min,Christian Claudio,"Nick Alford, 
Henrique Bersani, 
Maddie Bright, 
Joseph Harmon Brown",8.3
tt7846192,2018.0,,127 min,Matt Greenhalgh,"Cheryl Ashcroft, 
Hayley Blakey, 
Ian Campbell, 
Paula Chalder-Robinson",4.6
tt2380039,2012.0,,90 min,Tamer Garip,"Jolie Lennon, 
Cengiz Bozkurt, 
Jonny Lee Kemp, 
Serhat Harman",5.0
tt4103538,2015.0,,,Lyle DeRose,"Donovan Arterburn, 
Tamara Bailey, 
Terri Been, 
Tony Bravo",8.6
tt6038606,2017.0,,90 min,Manuel Vogel,"Viviana Ross, 
Ben Blaskovic, 
Maik van Epple, 
Kathrin Anna Stahl",6.4
tt1311062,2013.0,,109 min,Peng Zhang Li,"Hilma Falkowski, 
Bianca Giancoli, 
Bing Lei Li, 
Peng Zhang Li",3.6
tt16183408,2021.0,,163 min,Haris,,8.6
tt1668074,2010.0,Not Rated,98 min,Arthur Luhn,"Charlie Alejandro, 
Rudi Anna, 
Hilary Barraford, 
Charles Cafarella",5.3
tt2545652,2016.0,,113 min,Colin Alwin Harris,"Inga Eiss, 
J. Benedict Larmore, 
Anthony Belevtsov, 
Ben VanderMey",5.3
tt16610092,2022,,,Knox,Eric Roberts,
