year,runtime,director_count,star_count,rating_class
2015,120,3,4,3
2006,87,2,1,2
2016,115,1,1,3
2018,100,1,4,3
2006,132,4,5,2
2017,134,5,3,3
2018,110,3,1,3
2021,98,1,3,2
2016,113,1,4,3
2018,96,5,4,3
2010,100,2,5,3
2004,118,10,2,3
2017,90,4,2,2
2007,103,1,7,3
2016,111,1,1,3
2014,119,1,10,3
2013,109,4,3,3
2015,127,5,7,2
2019,123,3,5,3
2012,135,1,4,3
2017,107,3,16,2
2016,92,1,4,3
2010,133,1,10,3
2022,97,6,28,1
2010,107,1,1,3
2016,112,1,3,2
2007,115,2,3,3
2020,93,2,1,2
2021,86,1,2,3
2005,93,12,1,1
2014,110,1,27,1
2000,114,1,1,3
2012,103,8,14,3
2011,88,2,2,3
2010,105,1,16,3
2008,118,3,5,3
2008,113,2,3,2
2008,105,9,20,3
2022,96,7,28,1
2018,98,1,6,2
2021,94,7,6,2
2005,111,8,20,3
2017,132,2,2,3
2022,105,6,28,1
2008,115,1,6,3
2008,106,5,10,3
2014,132,1,2,3
2003,102,12,10,3
2003,94,1,2,2
2006,139,2,4,3
2022,90,1,10,2
2014,125,3,2,3
2002,101,2,6,3
2012,91,1,1,0
2021,108,1,1,2
2011,104,6,3,3
2009,79,1,5,3
2013,116,1,28,3
2022,97,1,1,2
2008,96,2,3,3
2022,84,2,4,2
2019,98,1,1,3
2016,97,1,3,3
2014,118,2,3,3
2014,105,9,2,2
2003,84,12,1,2
2012,102,2,8,3
2019,87,1,3,3
2003,129,5,9,3
2011,117,4,16,3
2018,123,1,1,3
2010,103,1,10,2
2008,120,4,4,3
2011,93,8,20,3
2018,91,1,2,3
2010,96,4,1,3
2014,150,3,4,3
2015,95,2,1,3
2005,95,1,1,3
2013,100,1,20,3
2005,93,2,4,2
2002,105,4,2,3
2013,113,6,2,3
2004,94,1,9,3
2014,104,2,1,2
2003,97,3,2,2
2021,109,2,16,2
2018,111,1,2,2
2007,96,3,27,3
2005,110,7,8,2
2012,97,1,7,3
2001,90,6,20,3
2016,96,3,1,3
2002,116,1,8,3
2014,102,1,2,2
2003,104,10,20,3
2005,115,1,5,2
2015,102,3,1,3
2005,129,8,10,2
2016,114,2,12,3
2013,150,5,10,3
2018,104,2,1,2
2011,89,12,1,1
2011,111,2,4,3
2009,134,6,3,3
2011,83,6,5,3
2012,105,2,3,3
2015,92,8,20,2
2013,112,3,20,3
2005,101,4,3,3
2021,110,1,4,2
2008,135,5,6,2
2001,124,1,6,3
2003,116,2,8,2
2017,108,1,1,3
2010,109,4,27,3
2017,113,8,1,3
2020,83,1,3,2
2000,99,2,15,2
2010,100,1,2,2
2008,109,8,4,2
2014,104,1,1,3
2021,124,1,1,2
2019,107,2,8,3
2009,90,2,2,3
2019,102,1,1,3
2022,107,1,1,2
2011,146,7,1,3
2006,141,6,1,3
2010,97,1,4,3
2020,100,1,7,2
2000,107,2,3,1
2013,90,4,3,2
2006,106,4,6,3
2021,94,1,2,2
2018,104,7,16,3
2016,92,3,8,2
2012,94,4,3,2
2006,105,2,9,2
2001,99,4,8,3
2013,98,4,28,2
2017,161,2,6,2
2016,98,2,20,2
2022,98,3,6,2
2008,110,2,1,3
2015,105,2,1,3
2003,121,13,28,3
2010,110,3,1,2
2013,125,2,4,2
2005,118,1,10,2
2010,102,1,3,3
2022,94,5,3,2
2002,96,3,5,2
2019,108,3,1,3
2014,114,1,16,3
2007,94,2,2,2
2022,89,1,2,2
2004,120,2,20,2
2016,117,1,8,3
2016,107,9,9,2
2021,106,2,6,2
2015,96,2,4,3
2008,105,4,2,2
2003,117,1,5,2
2012,92,5,16,3
2022,98,7,5,2
2000,99,1,3,2
2019,117,3,9,2
2018,95,1,1,2
2015,90,2,10,2
2019,120,2,1,3
2008,109,7,9,3
2009,92,1,2,3
2001,97,2,1,3
2014,103,2,5,3
2013,107,12,16,2
2018,103,7,2,2
2005,105,7,4,2
2016,120,1,1,3
2013,97,1,5,3
2015,93,1,3,3
2020,99,2,5,3
2016,133,10,16,3
2021,141,1,2,3
2003,88,2,3,2
2017,120,2,3,3
2003,106,5,1,2
2016,91,2,6,2
2012,95,9,9,2
2009,98,3,6,3
2021,99,2,6,2
2016,182,11,1,3
2007,94,3,9,3
2009,94,2,3,3
2011,108,5,1,3
2016,133,1,2,2
2014,117,5,4,3
2005,87,6,20,3
2003,119,4,10,3
2001,126,6,3,3
2000,118,2,8,1
2022,92,1,1,2
2013,107,1,6,3
2016,120,1,1,3
2014,109,7,6,2
2015,96,1,2,2
2005,97,2,2,2
2009,102,1,3,2
2013,118,2,20,3
2022,96,1,2,2
2011,116,1,20,3
2006,98,2,1,2
2000,116,4,6,3
2016,161,1,4,4
2014,108,5,16,2
2022,90,1,1,1
2007,91,6,20,3
2020,103,1,1,3
2007,92,6,2,2
2012,105,4,2,2
2009,96,5,20,3
2014,89,2,1,2
2018,94,1,2,3
2013,102,2,2,3
2001,92,4,2,2
2018,117,1,1,2
2009,93,4,3,2
2005,103,6,7,3
2008,95,1,8,2
2003,115,3,1,3
2006,111,7,1,3
2022,93,1,3,2
2019,109,2,1,2
2009,84,1,6,3
2011,116,3,5,2
2014,91,1,2,2
2017,101,1,20,2
2001,98,3,7,3
2016,123,4,2,2
2015,96,1,5,3
2022,112,1,1,2
2000,99,4,9,2
2018,108,1,1,2
2010,96,9,9,2
2019,111,6,9,3
2005,106,5,20,3
2002,101,5,8,3
2022,90,1,6,3
2001,95,1,2,3
2021,78,3,1,3
2004,97,6,2,2
2018,102,3,20,2
2001,131,3,3,3
2019,105,4,2,2
2011,106,4,2,2
2007,105,1,2,3
2018,109,1,1,3
2004,104,1,3,1
2019,102,1,1,3
2020,116,2,1,2
2017,88,7,5,3
2020,99,2,16,2
2004,97,6,6,3
2016,107,1,1,3
2000,130,6,2,3
2020,102,2,2,1
2021,110,1,1,2
2014,88,2,5,2
2018,91,1,6,2
2010,104,2,1,3
2021,123,1,1,3
2012,93,2,1,2
2019,93,1,5,3
2008,104,5,20,2
2016,108,2,5,2
2010,97,4,3,3
2018,96,2,2,3
2016,101,2,4,3
2005,113,2,28,3
2022,120,1,1,2
2011,96,5,27,2
2005,121,7,1,2
2019,87,14,15,3
2016,102,2,1,3
2019,97,1,3,3
2006,108,2,1,3
2016,107,8,28,2
2012,132,1,6,2
2002,99,2,3,2
2011,102,2,1,2
2012,94,1,20,3
2008,100,4,16,2
2002,100,12,3,2
2009,111,1,4,3
2019,120,2,1,2
2020,93,1,2,3
2001,116,7,14,2
2013,100,1,20,3
2003,87,3,3,3
2018,107,1,28,3
2021,108,1,2,2
2022,96,1,28,1
2022,91,9,1,2
2019,104,1,5,3
2014,99,6,4,3
2021,99,4,5,2
2001,109,2,2,3
2011,129,3,15,3
2008,103,2,1,2
2007,127,16,20,1
2007,101,1,2,2
2010,119,3,1,3
2012,91,1,2,2
2014,99,1,2,3
2016,88,4,7,3
2010,117,8,7,3
2000,115,7,7,3
2019,118,2,3,3
2022,130,1,1,1
2000,94,1,10,3
2016,105,1,1,2
2015,107,2,10,2
2022,88,5,3,3
2011,93,2,4,2
2001,129,5,1,3
2007,86,1,5,3
2009,118,1,5,3
2019,100,1,2,3
2018,121,2,1,3
2022,96,1,15,2
2005,95,16,2,1
2018,89,1,3,3
2009,91,1,3,2
2021,114,2,2,2
2012,99,3,8,2
2017,95,2,3,2
2007,99,2,4,2
2019,107,5,10,3
2015,96,4,9,2
2020,93,1,1,2
2007,110,10,5,3
2022,92,14,28,2
2009,84,1,8,2
2022,88,1,1,1
2012,82,2,2,3
2004,91,1,1,2
2016,98,1,8,2
2008,103,1,2,2
2018,117,1,2,3
2008,104,1,20,3
2014,92,1,3,3
2019,115,1,1,2
2004,94,2,1,3
2003,105,5,5,3
2005,109,4,6,3
2018,96,8,14,1
2000,106,1,4,2
2016,88,4,1,2
2000,110,2,20,3
2017,86,3,1,3
2004,106,1,1,3
2013,106,3,3,3
2015,115,4,2,2
2012,91,2,3,3
2014,108,7,4,2
2017,89,1,3,3
2007,113,2,6,2
2019,109,1,1,3
2020,106,2,6,2
2012,93,1,1,2
2011,110,3,3,2
2017,87,5,10,2
2008,115,1,1,3
2017,137,2,2,3
2022,109,1,1,3
2010,102,2,1,3
2012,88,1,6,3
2011,87,2,2,2
2004,113,4,5,3
2017,87,1,1,3
2001,87,2,7,2
2002,97,1,1,3
2019,95,3,2,2
2016,100,2,1,3
2011,100,1,2,3
2016,113,3,1,3
2007,105,3,4,3
2007,115,3,1,3
2005,127,6,1,2
2006,93,4,1,2
2011,101,1,3,3
